
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. mss, 704, 1033, 241, 0, 0, 0, 0, 2, 19
.	. mss_sb, 704, 1033, 241, 0, 0, 0, 0, 2, 2
.	.	. COREI2C_Z3, 87, 387, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREI2CREAL_Z4, 87, 386, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z1, 0, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_Z2, 5, 6, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z7, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. corepwm_Z5, 229, 277, 129, 0, 0, 0, 0, 0, 0
.	.	.	. pwm_gen_10s_16s_0, 10, 86, 80, 0, 0, 0, 0, 0, 0
.	.	.	. reg_if_Z6, 203, 191, 16, 0, 0, 0, 0, 0, 0
.	.	.	. timebase_16s, 16, 0, 33, 0, 0, 0, 0, 0, 0
.	.	. mss_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. mss_sb_CoreUARTapb_2_0_CoreUARTapb_19s_1s_1s_1s_0s_0s_0s_0s_0s_0s, 187, 163, 56, 0, 0, 0, 0, 0, 0
.	.	.	. mss_sb_CoreUARTapb_2_0_COREUART_1s_1s_0s_15s_0s, 163, 131, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_0_Clock_gen_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_0_Rx_async_1s_0s_1s_2s, 37, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_0_Tx_async_1s_0s_1s_2s_3s_4s_5s_6s, 23, 28, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_0_fifo_256x8, 30, 8, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. mss_sb_CoreUARTapb_2_0_fifo_ctrl_128, 30, 8, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. mss_sb_CoreUARTapb_2_0_ram128x8_pa4, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_0_fifo_256x8_0, 30, 7, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. mss_sb_CoreUARTapb_2_0_fifo_ctrl_128_0, 30, 7, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. mss_sb_CoreUARTapb_2_0_ram128x8_pa4_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. mss_sb_CoreUARTapb_2_1_CoreUARTapb_19s_1s_1s_1s_0s_0s_0s_0s_0s_0s, 187, 157, 56, 0, 0, 0, 0, 0, 0
.	.	.	. mss_sb_CoreUARTapb_2_1_COREUART_1s_1s_0s_15s_0s, 163, 128, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_1_Clock_gen_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_1_Rx_async_1s_0s_1s_2s, 37, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_1_Tx_async_1s_0s_1s_2s_3s_4s_5s_6s, 23, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_1_fifo_256x8, 30, 6, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. mss_sb_CoreUARTapb_2_1_fifo_ctrl_128, 30, 6, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. mss_sb_CoreUARTapb_2_1_ram128x8_pa4, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mss_sb_CoreUARTapb_2_1_fifo_256x8_0, 30, 7, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. mss_sb_CoreUARTapb_2_1_fifo_ctrl_128_0, 30, 7, 21, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. mss_sb_CoreUARTapb_2_1_ram128x8_pa4_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. mss_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. mss_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
